Date,HDZ Coalition,River Of Justice,DP,Most-HS,Možemo!,RF,Fokus,Ozbiljno,Other,Undecided
2022-07-10,27.3,21.200000000000003,5.5,8.4,11.6,,,1.0,6.6,18.4
2022-06-24,33.3,16.900000000000002,6.3,10.2,8.9,1.0,,2.1,4.3,16.8
2022-06-05,26.7,20.3,5.1,9.2,12.3,,1.1,1.0,6.6,17.7
2022-05-27,24.9,17.8,5.1,11.200000000000001,14.3,,,1.4,7.4,17.9
2022-05-25,34.9,16.9,5.6,10.2,10.2,,,1.5,8.2,12.6
2022-05-20,27.4,21.3,4.6,9.1,12.0,,1.1,1.1,6.3,17.1
2022-05-08,27.200000000000003,21.0,4.8,9.2,12.6,,1.2,1.0,5.9,17.1
2022-04-25,32.5,18.2,4.8,9.0,9.1,,,1.9,8.1,16.4
2022-04-24,26.2,20.8,5.7,9.7,12.3,,1.3,1.1,5.8,17.1
2022-04-10,25.4,20.400000000000002,4.7,10.3,12.8,,1.2,1.0,6.9,17.3
2022-03-25,30.500000000000004,17.900000000000002,5.6,11.5,10.7,1.0,1.2,0.0,5.7,16.0
2022-03-20,26.1,19.400000000000002,6.5,10.2,12.2,,1.3,1.2,6.2,16.9
2022-03-06,25.2,20.0,6.3,10.6,12.5,,1.3,1.0,6.7,16.4
2022-02-25,29.5,16.4,6.4,12.4,12.9,,,1.4,8.0,13.0
2022-02-06,26.2,20.4,4.3,11.1,12.9,,1.5,1.0,7.4,15.8
2022-01-25,32.6,15.8,6.0,8.8,9.4,1.2,1.6,1.8,6.0,16.8
2022-01-09,26.1,19.499999999999996,3.7,13.700000000000001,13.3,1.0,1.4,1.1,6.3,15.2
2021-12-24,30.9,16.0,5.3,10.6,8.8,,1.3,1.7,7.9,17.2
2021-12-05,27.1,18.400000000000002,4.9,10.0,14.2,,1.6,1.0,6.1,16.7
2021-11-25,32.2,15.799999999999999,4.8,10.6,10.3,,,0.0,8.6,17.6
2021-11-20,27.5,18.8,4.5,9.4,15.4,,1.5,1.2,5.7,16.0
2021-11-07,27.4,18.5,5.0,9.2,15.9,,1.3,1.0,6.199999999999999,15.5
2021-10-25,32.9,16.2,4.5,9.899999999999999,11.2,,,1.6,9.1,14.6
2021-10-20,27.3,18.7,4.1,8.1,16.1,,1.5,1.0,6.6000000000000005,16.6
2021-10-10,28.700000000000003,18.700000000000003,3.7,7.7,17.1,,1.3,1.1,5.5,16.2
2021-09-23,32.3,13.4,5.2,9.700000000000001,13.6,,1.1,1.7,8.0,15.0
2021-09-20,27.1,20.1,3.9,9.9,16.1,,1.7,1.4,5.3,14.5
2021-09-05,27.3,21.2,3.8,7.7,17.2,,1.9,1.0,6.2,13.7
2021-08-25,32.7,13.799999999999999,5.0,8.9,15.6,1.3,1.5,0.0,7.0,14.2
2021-07-26,32.6,17.5,7.7,7.6,14.9,,1.6,0.0,10.1,8.0
2021-07-11,28.5,21.4,6.4,4.8,16.9,,1.3,1.2,5.7,13.7
2021-07-07,30.9,16.3,8.4,7.4,13.5,1.4,1.7,0.0,6.0,12.1
2021-06-25,32.2,16.0,6.4,6.8,12.6,,1.1,0.0,9.9,15.0
2021-06-06,28.2,22.099999999999998,8.2,5.4,13.4,,1.4,0.0,7.4,13.9
2021-05-25,33.0,18.9,7.3,6.7,9.4,,1.3,2.8,6.9,13.7
2021-05-09,27.9,22.200000000000003,8.2,7.1,9.1,,1.0,1.3,8.6,14.6
2021-04-23,30.3,17.3,6.6,7.7,8.7,1.7,,1.1,9.8,16.8
2021-04-20,28.1,22.299999999999997,7.7,7.0,9.0,,1.0,1.4,7.8,15.7
2021-04-04,28.8,22.1,7.9,7.6,8.2,1.0,1.3,1.2,7.6,14.3
2021-03-25,32.5,18.900000000000002,6.2,7.3,9.4,1.0,,0.0,8.0,16.6
2021-03-20,27.3,21.8,8.1,7.5,8.7,,1.2,1.2,8.1,16.1
2021-03-07,27.0,22.0,7.5,7.2,8.3,,1.5,1.1,9.6,15.8
2021-02-25,30.9,20.7,6.8,8.0,9.3,1.3,,1.4,8.299999999999999,13.3
2021-02-07,27.7,23.5,7.2,7.3,8.3,,,1.6,8.8,15.6
2021-01-25,33.2,19.6,7.3,7.8,9.6,1.3,1.5,1.6,9.8,8.3
2021-01-10,28.0,23.8,6.3,7.4,8.4,,,1.6,9.0,15.5
2020-12-24,33.1,20.5,9.4,9.5,8.6,1.1,1.8,1.2,9.700000000000001,5.1
2020-12-06,29.2,24.3,7.9,8.7,6.4,,,1.7,8.4,13.4
2020-11-25,34.400000000000006,19.200000000000003,7.5,7.4,6.5,1.1,,2.1,7.699999999999999,10.5
2020-11-08,29.1,25.700000000000003,7.3,8.6,7.6,,,1.4,7.5,12.8
2020-10-26,34.0,25.5,8.4,7.3,6.7,,,1.4,6.800000000000001,9.9
2020-10-08,30.4,23.4,8.2,8.4,9.0,,,1.2,7.0,12.4
2020-09-25,34.7,22.900000000000002,7.9,6.2,8.2,,,1.5,6.800000000000001,11.8
2020-09-06,32.8,23.9,7.8,7.6,8.9,,,1.3,6.5,11.2
2020-08-25,35.6,23.299999999999997,6.1,7.0,8.6,,,2.0,7.5,9.9
2020-08-06,32.9,23.300000000000004,8.6,8.3,11.0,,,1.2,0.0,
2020-07-25,31.4,21.599999999999998,6.9,8.2,8.7,,,1.9,10.6,8.8
2020-07-05,38.599999999999994,28.9,10.9,7.4,7.0,,,0.0,7.2,
