Date,Union,SPD,FDP,Linke,Grüne,Piraten,AfD,Others
2013-09-22,41.5,25.7,4.8,8.6,8.4,2.2,4.7,4.1
2013-09-20,39.5,27.0,5.5,9.0,9.0,2.0,4.5,3.5
2013-09-20,40.0,26.0,5.0,9.0,10.0,2.0,4.0,4.0
2013-09-20,39.0,26.0,5.0,9.0,9.0,,4.0,7.0
2013-09-19,38.0,28.0,6.0,9.0,8.0,2.0,5.0,4.0
2013-09-19,40.0,27.0,5.5,8.5,9.0,,4.0,6.0
2013-09-18,39.0,26.0,6.0,9.0,11.0,2.0,3.5,3.5
2013-09-17,39.0,25.0,5.0,10.0,9.0,3.0,3.0,6.0
2013-09-15,38.0,27.0,4.0,8.0,11.0,3.0,4.0,5.0
2013-09-15,39.0,26.0,5.0,9.0,10.0,3.0,4.0,4.0
2013-09-13,40.0,26.0,6.0,8.0,11.0,,4.0,5.0
2013-09-12,40.0,28.0,5.0,8.0,10.0,2.5,2.5,40.0
2013-09-11,39.0,25.0,6.0,10.0,9.0,3.0,3.0,5.0
2013-09-10,40.0,25.0,5.0,9.0,11.0,3.0,3.0,4.0
2013-09-09,39.0,28.0,4.0,8.0,11.0,3.0,3.0,4.0
2013-09-08,40.0,25.0,5.0,9.0,11.0,3.0,3.0,4.0
2013-09-05,41.0,26.0,6.0,8.0,10.0,,3.0,6.0
2013-09-05,41.0,27.0,5.0,8.0,10.0,2.0,3.0,4.0
2013-09-04,40.0,23.0,5.0,9.0,11.0,3.0,4.0,5.0
2013-09-04,40.0,25.0,6.0,7.5,12.5,2.5,3.0,3.5
2013-09-02,39.0,26.0,5.0,8.0,13.0,3.0,3.0,3.0
2013-09-01,39.0,23.0,6.0,10.0,11.0,3.0,3.0,5.0
2013-08-29,41.0,26.0,6.0,7.0,12.0,,3.0,5.0
2013-08-29,41.0,26.0,5.0,8.0,11.0,,3.0,6.0
2013-08-28,41.0,22.0,5.0,10.0,11.0,3.0,3.0,5.0
2013-08-26,39.0,25.0,6.0,7.0,14.0,3.0,3.0,3.0
2013-08-25,40.0,25.0,5.0,8.0,12.0,3.0,3.0,4.0
2013-08-23,41.0,25.0,6.0,8.0,13.0,,,7.0
2013-08-23,42.0,24.0,5.0,9.0,12.0,2.0,3.0,3.0
2013-08-21,41.0,22.0,6.0,8.0,13.0,3.0,2.0,5.0
2013-08-21,39.0,24.5,7.0,7.0,13.5,2.0,3.0,4.0
2013-08-20,38.0,26.0,5.0,8.0,15.0,3.0,3.0,2.0
2013-08-20,41.0,25.0,6.0,8.0,12.0,3.0,1.0,4.0
2013-08-18,40.0,24.0,6.0,8.0,12.0,4.0,1.0,5.0
2013-08-16,41.0,25.0,5.0,8.0,13.0,3.0,,5.0
2013-08-15,42.0,25.0,5.0,8.0,12.0,3.0,,5.0
2013-08-14,40.0,23.0,5.0,8.0,13.0,3.0,3.0,5.0
2013-08-13,39.0,26.0,5.0,8.0,14.0,2.0,3.0,3.0
2013-08-11,41.0,25.0,5.0,8.0,13.0,3.0,2.0,3.0
2013-08-09,42.0,25.0,5.0,7.0,13.0,3.0,,5.0
2013-08-07,40.0,23.0,5.0,7.0,14.0,3.0,3.0,5.0
2013-08-05,39.0,26.0,5.0,8.0,14.0,2.0,2.0,4.0
2013-08-04,40.0,25.0,5.0,8.0,13.0,3.0,2.0,4.0
2013-08-02,40.0,27.0,5.0,7.0,14.0,,,7.0
2013-08-01,42.0,26.0,5.0,7.0,13.0,,,7.0
2013-07-31,41.0,22.0,5.0,8.0,13.0,3.0,2.0,6.0
2013-07-30,39.0,26.0,4.0,7.0,15.0,2.0,3.0,4.0
2013-07-28,40.0,25.0,5.0,8.0,13.0,3.0,3.0,3.0
2013-07-25,42.0,25.0,4.0,7.0,14.0,2.0,2.0,4.0
2013-07-24,41.0,22.0,5.0,9.0,12.0,4.0,2.0,5.0
2013-07-23,38.0,26.0,5.0,7.0,15.0,2.0,3.0,4.0
2013-07-21,40.0,25.0,6.0,8.0,13.0,3.0,2.0,3.0
2013-07-19,41.0,26.0,4.0,7.0,13.0,2.0,3.0,4.0
2013-07-17,41.0,23.0,5.0,8.0,14.0,2.0,2.0,5.0
2013-07-16,38.0,26.0,5.0,8.0,15.0,2.0,3.0,3.0
2013-07-16,41.0,25.0,5.0,7.0,13.0,2.0,2.0,5.0
2013-07-14,41.0,26.0,5.0,7.0,12.0,4.0,1.0,4.0
2013-07-12,41.0,26.0,4.0,6.0,14.0,,3.0,6.0
2013-07-12,41.0,26.0,5.0,7.0,13.0,,3.0,5.0
2013-07-12,40.0,25.5,6.5,6.0,12.5,2.0,3.5,4.0
2013-07-10,41.0,22.0,5.0,9.0,15.0,2.0,2.0,4.0
2013-07-09,39.0,26.0,5.0,7.0,14.0,2.0,3.0,4.0
2013-07-07,42.0,26.0,4.0,8.0,12.0,3.0,2.0,3.0
2013-07-04,42.0,25.0,4.0,7.0,14.0,3.0,,5.0
2013-07-03,41.0,22.0,5.0,9.0,14.0,2.0,2.0,5.0
2013-07-01,40.0,25.0,4.0,7.0,15.0,2.0,3.0,4.0
2013-06-30,41.0,25.0,5.0,7.0,13.0,3.0,2.0,4.0
2013-06-28,41.0,26.0,4.0,7.0,13.0,3.0,,6.0
2013-06-28,43.0,26.0,4.0,6.0,13.0,,3.0,5.0
2013-06-26,41.0,22.0,5.0,8.0,15.0,2.0,2.0,5.0
2013-06-24,39.0,26.0,4.0,7.0,16.0,2.0,2.0,4.0
2013-06-23,41.0,25.0,4.0,8.0,14.0,3.0,2.0,3.0
2013-06-21,41.0,25.0,5.0,7.0,14.0,,,8.0
2013-06-19,40.0,22.0,6.0,8.0,15.0,2.0,2.0,5.0
2013-06-19,40.0,25.0,4.0,7.0,15.0,3.0,3.0,3.0
2013-06-19,38.0,26.0,6.0,7.0,14.0,2.0,3.0,4.0
2013-06-18,41.0,25.0,5.0,8.0,14.0,2.0,2.0,3.0
2013-06-16,41.0,25.0,5.0,8.0,13.0,3.0,2.0,3.0
2013-06-14,41.0,26.0,4.0,7.0,15.0,,2.0,5.0
2013-06-12,40.0,24.0,5.0,9.0,13.0,2.0,2.0,5.0
2013-06-11,39.0,26.0,5.0,7.0,14.0,2.0,3.0,4.0
2013-06-09,41.0,26.0,4.0,7.0,13.0,3.0,3.0,3.0
2013-06-07,42.0,28.0,4.0,6.0,13.0,,3.0,4.0
2013-06-06,41.0,27.0,4.0,6.0,14.0,,3.0,5.0
2013-06-05,41.0,24.0,4.0,8.0,13.0,3.0,3.0,4.0
2013-06-04,39.0,27.0,4.0,6.0,15.0,3.0,3.0,3.0
2013-06-02,40.0,26.0,5.0,7.0,14.0,4.0,2.0,2.0
2013-06-01,39.0,26.0,4.0,7.0,14.0,3.0,4.0,3.0
2013-05-31,42.0,26.0,4.0,6.0,14.0,,3.0,5.0
2013-05-28,40.0,24.0,4.0,8.0,14.0,3.0,3.0,4.0
2013-05-27,39.0,25.0,4.0,7.0,14.0,2.0,3.0,6.0
2013-05-26,40.0,27.0,4.0,7.0,13.0,4.0,2.0,3.0
2013-05-24,41.0,27.0,4.0,6.0,14.0,2.0,2.0,4.0
2013-05-22,38.0,26.0,5.0,8.0,13.0,2.0,3.0,5.0
2013-05-22,41.0,24.0,4.0,8.0,13.0,3.0,3.0,4.0
2013-05-22,39.0,27.0,6.0,6.0,13.0,2.5,3.5,3.0
2013-05-19,39.0,26.0,4.0,7.0,15.0,4.0,3.0,2.0
2013-05-17,37.0,27.0,4.0,8.0,14.0,3.0,3.0,4.0
2013-05-17,41.0,26.0,4.0,6.0,14.0,3.0,3.0,3.0
2013-05-17,41.0,29.0,4.0,6.0,13.0,,3.0,4.0
2013-05-16,40.0,25.0,4.0,7.0,14.0,3.0,3.0,4.0
2013-05-15,40.0,23.0,4.0,9.0,14.0,3.0,2.0,5.0
2013-05-13,37.0,27.0,4.0,7.0,15.0,3.0,3.0,4.0
2013-05-12,38.0,26.0,4.0,8.0,15.0,4.0,2.0,3.0
2013-05-10,40.0,27.0,5.0,6.0,14.0,,3.0,5.0
2013-05-07,39.0,24.0,4.0,8.0,15.0,2.0,3.0,5.0
2013-05-07,37.0,26.0,5.0,7.0,15.0,3.0,3.0,4.0
2013-05-05,37.0,27.0,5.0,7.0,15.0,4.0,2.0,3.0
2013-05-03,38.5,26.0,5.5,6.0,15.0,3.0,3.5,2.5
2013-05-02,40.0,26.0,4.0,7.0,15.0,,3.0,5.0
2013-05-01,39.0,23.0,5.0,8.0,14.0,3.0,3.0,5.0
2013-04-29,38.0,26.0,5.0,7.0,16.0,2.0,3.0,3.0
2013-04-28,40.0,27.0,4.0,7.0,14.0,3.0,2.0,3.0
2013-04-26,40.0,28.0,4.0,6.0,14.0,,3.0,5.0
2013-04-26,40.0,27.0,4.0,7.0,14.0,2.0,3.0,3.0
2013-04-24,42.0,23.0,5.0,7.0,14.0,3.0,2.0,4.0
2013-04-22,38.0,26.0,5.0,6.0,15.0,2.0,5.0,3.0
2013-04-21,39.0,26.0,5.0,6.0,14.0,2.0,4.0,4.0
2013-04-21,39.0,26.0,5.0,8.0,14.0,4.0,,4.0
2013-04-21,41.0,27.0,4.0,7.0,14.0,,3.0,4.0
2013-04-17,42.0,22.0,5.0,8.0,15.0,3.0,,5.0
2013-04-17,38.5,28.0,5.0,7.0,15.0,3.0,,3.5
2013-04-16,39.0,26.0,5.0,6.0,15.0,3.0,3.0,3.0
2013-04-16,42.0,24.0,6.0,8.0,13.0,2.0,,5.0
2013-04-14,41.0,26.0,5.0,8.0,14.0,3.0,,3.0
2013-04-12,42.0,27.0,4.0,7.0,15.0,2.0,,3.0
2013-04-12,42.0,27.0,4.0,6.0,14.0,,,7.0
2013-04-10,41.0,23.0,6.0,9.0,14.0,3.0,,4.0
2013-04-09,39.0,26.0,5.0,7.0,16.0,2.0,,5.0
2013-04-07,39.0,26.0,5.0,8.0,15.0,3.0,,4.0
2013-04-04,41.0,27.0,4.0,8.0,14.0,3.0,,3.0
2013-04-03,40.0,24.0,5.0,8.0,15.0,3.0,,5.0
2013-03-31,39.0,26.0,5.0,7.0,15.0,3.0,,5.0
2013-03-28,39.0,28.0,4.0,8.0,15.0,3.0,,3.0
2013-03-26,41.0,24.0,5.0,8.0,14.0,3.0,,5.0
2013-03-25,39.0,27.0,5.0,8.0,14.0,3.0,,4.0
2013-03-24,40.0,27.0,5.0,7.0,15.0,3.0,,3.0
2013-03-22,38.0,27.0,5.0,8.0,16.0,2.0,,4.0
2013-03-22,40.0,27.0,5.0,7.0,15.0,2.0,,4.0
2013-03-22,40.0,29.0,4.0,7.0,14.0,3.0,,3.0
2013-03-20,40.0,24.0,6.0,7.0,15.0,3.0,,5.0
2013-03-20,39.5,26.5,6.0,6.0,15.5,2.5,,4.0
2013-03-19,40.0,26.0,5.0,7.0,16.0,3.0,,3.0
2013-03-17,39.0,28.0,4.0,8.0,16.0,3.0,,2.0
2013-03-14,40.0,25.0,5.0,7.0,17.0,3.0,,3.0
2013-03-13,40.0,24.0,4.0,8.0,16.0,3.0,,5.0
2013-03-12,40.0,27.0,5.0,6.0,16.0,2.0,,4.0
